time,ssp119 - sce1,ssp126 - sce1,ssp534 - sce1,ssp434 - sce1,ssp245 - sce1,ssp460 - sce1,ssp370 - sce1,ssp585 - sce1,ssp119 - sce2,ssp126 - sce2,ssp534 - sce2,ssp434 - sce2,ssp245 - sce2,ssp460 - sce2,ssp370 - sce2,ssp585 - sce2,ssp119 - sce3,ssp126 - sce3,ssp534 - sce3,ssp434 - sce3,ssp245 - sce3,ssp460 - sce3,ssp370 - sce3,ssp585 - sce3,ssp119 - sce4,ssp126 - sce4,ssp534 - sce4,ssp434 - sce4,ssp245 - sce4,ssp460 - sce4,ssp370 - sce4,ssp585 - sce4,ssp119 - sce5,ssp126 - sce5,ssp534 - sce5,ssp434 - sce5,ssp245 - sce5,ssp460 - sce5,ssp370 - sce5,ssp585 - sce5,ssp119 - sce6,ssp126 - sce6,ssp534 - sce6,ssp434 - sce6,ssp245 - sce6,ssp460 - sce6,ssp370 - sce6,ssp585 - sce6
2259.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2260.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2261.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2262.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2263.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2264.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2265.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2266.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2267.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2268.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2269.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2270.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2271.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2272.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2273.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2274.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2275.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2276.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2277.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2278.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2279.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2280.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2281.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2282.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2283.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2284.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2285.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2286.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2287.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2288.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2289.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2290.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2291.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2292.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2293.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2294.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2295.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2296.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2297.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2298.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
2299.5,-0.53515625,-0.796875,-1.05078125,-0.3125,-0.26171875,-0.55078125,-0.40625,-0.4140625,-0.62890625,-0.98046875,-1.11328125,-0.37109375,-0.44921875,-0.42578125,-0.5703125,-0.5390625,-0.796875,-1.0,-1.4375,-0.7734375,-0.52734375,-0.5859375,-0.76953125,-0.8046875,-1.40234375,-1.4609375,-1.203125,-0.90234375,-0.8046875,-0.94140625,-1.15625,-1.09765625,-1.78515625,-1.2421875,-1.6484375,-1.1796875,-0.87890625,-1.0625,-1.15625,-1.20703125,-2.19140625,-1.5625,-1.953125,-1.7421875,-1.2265625,-1.39453125,-1.62109375,-1.3828125
